Id,Price
725,167647.45184375023
15856,238646.8376784686
5480,167933.57923329505
15664,334431.42552258476
14275,145941.95259643102
7633,202881.17347227133
13329,172801.35547002594
5502,213240.20550581958
4220,301963.93784480286
11538,217094.9467274696
15975,269397.173754825
3310,216174.80465192732
9286,147833.79690862066
11260,186017.8095955963
5214,104537.97277630046
11307,183319.21360420447
13543,363814.2466408558
615,179326.61225276295
3495,221994.52049885172
2321,241062.8867525042
12046,183915.40397429443
16688,151200.70328001806
12694,236683.21728412964
783,154851.096595687
8968,177901.8350454755
13454,182819.2793657805
12190,259602.67666412998
11160,110622.00914277202
10291,195742.65767106257
891,279384.30413901753
2982,180640.72415183164
3818,252876.87675812704
2449,188849.89768326806
8317,165716.48946494333
4922,176991.03803040937
1257,238252.41602633405
9348,224349.63556171014
4176,182300.2234061327
10704,171824.5762380558
6624,113973.79731794781
5428,208117.38666973513
12749,181088.8079469557
8994,174213.93059777046
11513,146878.35555665498
3047,175681.15204441626
9519,206879.050454476
12309,243607.22560626443
14081,273403.65937654936
8334,253800.60902551364
6343,182074.40780021026
14788,130229.28185128259
15748,391111.9995409192
153,244552.432226083
14149,184687.25938852096
269,190215.39695491132
5452,134552.0323587995
721,163065.87413197436
5079,330145.46139370726
2831,125713.47053220808
10614,113779.10495288059
10131,257053.25328568704
9996,337987.65441663394
3061,187544.3534665122
11733,331366.4763903364
3726,251087.30284659285
10929,223110.66991751254
9011,323724.3460423321
16182,292104.8892527663
4976,180789.94758789107
9897,231213.2037403187
1872,180841.63012886525
9205,405347.8406776262
5403,377729.8612574736
14074,207180.38946122507
6268,153321.29348448492
14232,170579.2779073893
8532,249331.90754309442
7034,339464.40216758184
6553,435347.9999951746
3133,179168.98993957473
8596,203753.48368382402
12389,247981.93049133025
14462,176859.56197802626
8860,333981.6706978809
8377,285908.91666717385
6367,337019.41642207897
6917,246505.46713020158
4216,205379.4592847233
5806,172915.00391207918
5438,193938.3109981426
6632,200987.64913571536
2650,150912.7607273368
5396,207361.40443400375
4044,150367.8143597584
1345,228334.00745051724
856,175554.97010174635
12791,259706.82544742574
12499,213308.09885863165
12249,129837.36426963685
14641,140472.00374907162
1919,171098.96021747717
7848,179195.8221999881
10749,183268.11287336043
15554,189269.30186821928
15834,189808.3571303935
1355,135607.25306739946
15451,180816.8397415745
12401,208286.82186307968
10290,170182.67162925805
9462,131611.84595226534
3103,229331.75536099207
3420,146226.66442461492
12262,232460.21680150976
5032,124287.89396437263
8949,290450.57057955215
15567,226627.94919061448
16389,160801.34923344624
7809,92164.88227169382
8990,177550.9431743803
16089,255151.913165536
12743,102954.7204291549
5132,124831.33274507428
1619,288763.14236907574
2428,99825.58940403584
16741,164293.00170380386
13193,218610.00584137256
12588,528802.6283199879
5067,177334.05560963057
14685,125619.482063699
2292,180018.97381758768
5746,125535.1856089942
12578,161642.89091674544
14834,176164.5152318629
2147,176644.54496356176
8222,136983.90505431851
10419,266062.9785433641
11492,212377.7150491966
3006,212368.42682234626
8761,202196.4622894008
15371,332253.76787734166
16367,151860.93037463055
6317,267347.9780127246
10878,279418.6164869969
3895,165191.3744101366
8041,190888.25776900086
13428,463549.61870343616
14669,153594.42062911406
1006,179668.00894366336
12271,179534.53129101635
3764,419253.883023688
7675,194775.79804897826
11709,266229.32154218596
8629,149999.04669798317
1105,354064.28061344364
6096,185827.25914152933
11727,216963.43739905785
5157,169705.69740218073
3679,145978.11582411415
1755,153135.76904439897
7391,169214.68526677965
7425,100680.63306896157
6882,391416.9523162554
10752,351526.2041034419
7472,197393.98032900787
14320,100103.64667186508
9596,154284.12054229723
5317,211359.9032571712
7378,86848.31552163523
16154,183049.11009211652
3464,201966.6829165236
4197,235654.05209802848
9477,115551.45011658076
12705,199612.71301112918
16426,199297.01944475583
1481,66303.89316346568
9946,251385.54785974778
12025,219954.38137895984
5341,235333.97905139363
9923,303697.01432511734
7953,260060.94823195375
11066,259972.74642948236
5037,173096.28345459298
2509,187740.045397889
4937,321178.3595881743
12089,390442.0185467745
4964,170808.26144122088
16500,268745.70245105424
4625,142306.4238506327
2363,387986.7916005745
8148,187037.9092368221
3804,183088.1492930079
4584,160825.60431580967
10694,110860.03080571667
2691,172891.05745684804
2983,226103.2586523082
13563,331475.96355618915
10747,219214.977749004
1721,199321.03820943367
2789,271006.7118117521
7214,253242.49761945094
8659,239293.07521017385
5107,300700.4495349066
3843,220029.35477803714
14610,402298.0280192374
